Index,Word,Meaning,Synonyms,Conjugation
271,alhani,"sauti ya ala au chombo cha muziki : Rekebisha alhani hii, upate inayosikika vizuri zaidi.",,
272,alhasili,"kwa ufupi, kwa maneno machache | kama vile",,
273,ali,jumla ya wana wa mtu | familia,"dhuria, watoto, wajukuu,aila, ayali",
274,ali,-a kupendeza sana | tukufu,,
275,alia,tia alama mwilini kwa kichapo,,"alilia, alilika, alilisha, alikwa"
276,alia,kausha samaki kwa jua | weka samaki kwa mpangilio juu ya nyalio kwenye chungu au sufuria,,"alilia, alilika, alilisha"
277,alifu,herufi ya mwanzo katika mfumo wa abjadi za Kiarabu,,
278,alifu,andika kitabu,,
279,alika,toa sauti ya kudata, toa sauti ya mfyatuko kama risasi : Alika vidole.,
280,alika,kijana aliyepitia mafunzo ya jando au unyago,,
281,alika,tawisha mwari au dhibiti mgonjwa ndani ya nyumba,,"alikana, alikia, alikika, alikisha, alikwa"
282,alika,ita kwenye karamu au shughuli,,"alikana, alikia, alikika, alikisha, alikwa"
283,aliki,ning'iniza kitu,"tundika, angika","alikia, alikika, alikisha, alikwa"
284,alimradi,iwapo,"mradi, ilimradi",
285,alimu,"mtu aliye mtaalamu, mweledi, bingwa na mbobezi wa taaluma fulani",,
286,alisha,"sababisha ufa utokee | pasuka au fyatuka na kutoa sauti kali, kwa mbegu, risasi na kadhalika",,"alishia, alishika"
287,alizarini,rangi nyekundu inayopatikana kwenye mizizi ya mmea na hutumiwa kutengenezea rangi ya nguo,,
288,alizeti,mmea wenye ua kubwa la rangi ya manjano lenye mbegu nyingi nyeusi katikati ambazo hutumiwa kutengenezea mafuta ya kupika : Mafuta ya alizeti hupendwa na watu wengi.,,
289,aljebra,tawi la Hisabati ambalo hutumia alama na herufi kuwakilisha tarakimu,,
290,alkemia,sayansi ya kutengeneza dhahabu,,
291,Allah,Mungu : Allah aalamu -> Mungu ndiye mwenye kujua,,
292,Allah Allah,tamko la kutilia mkazo ufanyikaji wa jambo : Halahala maagizo ya daktari yazingatie -> | kwa hadhari: : Halahala magari barabarani, -> jihadhari na magari barabarani,usisahau
293,Allahuma!,Mungu awajalieni nyinyi,,
294,almanusura,karibu jambo fulani au kitu fulani kitokee, kwa bahati jambo fulani au kitu fulani hakikutokea,
295,almari,"kabati lenye vyumba kama masanduku ya kuwekea nguo au vyombo | kisanduku kinachowekwa chini ya meza, mtoto wa meza",,
296,almaria,darizi inayofumwa kwenye nguo kama pambo,,
297,almasi,jiwe gumu la thamani lenye kaboni safi isiyokuwa na rangi na ambalo hutumiwa kukatia kioo,,
299,alofoni,"fonimu inayotokea katika mazingira ya kiisimu ya fonimu nyingine bila ya kubadilisha maana : [l] ni alofoni ya [r], katika : balua -> badala ya : barua ; ledio -> badala ya : redio ; halaka -> badala ya : haraka ->",,
300,aloi,"metali inayotengenezwa kwa mchanganyiko wa metali mbili au zaidi, au metali na dutu nyingine",,
301,alomofu,umbo tofauti la mofimu moja kwa mfano [ki] na [ch] ni alomofu za mofimu ki,,
302,aloo,neno linalotumika kumwita mtu,,
303,Alpu,safu ya milima iliyo nchi ya Uswizi,,
304,altaneta,kigeuzio umeme,,
305,altare,meza ambayo hutumiwa na padri kutolea misa,madhabahu,
306,altimeta,kifaa kilichomo ndani ya ndege kinachoonyesha urefu ambao ndege imepaa kutoka kwenye usawa wa bahari,,
307,alumini,aina ya metali inayotumiwa kutengenezea vifaa vya matumizi ya nyumbani,,
308,alumni,mtu ambaye alikuwa mwanafunzi katika shule au chuo fulani,,
309,alwaridi,aina ya tarabizuna iliyotengenezwa kwa maua ya waridi,,
310,alwatani,mwenyeji wa pahali fulani,,
311,ama,"ambata kitu, unganisha vitu",,
312,ama,"moja kati ya mawili : Hii ama ile? | neno la kuashiria kutilia mkazo kitu : Ama kweli!, ama siyo?, ama sivyo?",au,
313,ama!,tamko analotoa mtu anaposhangaa,ala!,
314,amaa,kauka kwa nguo ambayo imetoka kwenye maji,,"amalia, amalika"
315,amagedoni,(katika Agano Jipya) vita vya mwisho baina ya wema na uovu kabla ya Siku ya Kiyama | mgogoro wenye madhara makubwa,,
316,amali,matendo mema | hirizi | sihiri | uchawi,ulozi,
317,amali,kitendo | mazoea,kazi,
318,amana,kitu anachopewa mtu na mtu mwingine ili amtunzie au amwekee | akiba | kitu cha thamani kubwa,,
319,amani,"hali ya kutokuwapo vita, hali ya kutokuwapo machafuko yoyote : Watu wa Afrika Mashariki wanataka kuishi kwa amani.",salama,
320,amania,tarajia kupata kitu, kuwa na mategemeo,"tumaini, tazamia"
321,amara,"jambo la kufanya au kutekeleza kwa haraka, kazi kubwa | jambo analofanya mtu kama msaada : Kwa sababu ya amara tuliyokuwa nayo, tulitoka mapema.",,
322,amari,kamba ya kufungia nanga,,
323,amba,eleza jambo : Waambaje? Unasema nini? | zungumza habari za mtu mwingine bila mwenyewe kujua,"zungumza, sengenya",
324,amba,inawezekana ndio hivyo,"huenda, labda, pengine",
325,amba,tamko la kuonyesha usemi wa kukubaliana na jambo fulani,"hasa, ndio, sawa, sawasawa",
326,amba-,kipashio kinachokaa mwanzoni mwa kishazi rejeshi kinachoambiliwa kipatanishi cha ngeli ya nomino inayozungumziwa : Watoto ambao hawajapata chanjo ya ugonjwa wa kupooza lazima waletwe ili wachanjwe.,,
327,amba,ni kiambishi rejeshi cha kurejelea mtu au kitu. Hutumika katika kurejelea anayehusika au kinachohusika,,
328,ambaa,"pita karibu na, pita kandokando ya",,
330,ambari,"kitu mithili ya nta ngumu chenye harufu nzuri na rangi ya hudhurungi, kinachotokana na samaki wa jamii ya nyangumi, kwa kawaida huliwa ili kuongeza nguvu",,
331,ambata,gandanisha kitu na kitu kingine,,"ambatana, ambatia, ambatika, ambatisha"
332,ambatana,kuwa pamoja,fuatana,"ambatanika, ambatanisha"
333,ambatano,"-enye kushikamana, -enye mpatano : Sentensi ambatano",patanifu,
334,ambatano,"hali ya kuambatana, tendo la kuwa pamoja",,
335,ambatika,shikamana na kitu kingine,"ungana, gandamana",
336,ambatisha,shikamanisha au tia nyongeza kwenye kitu,,"ambatishia, ambatishika, ambatishana, ambatishwa"
337,ambatishwa,"fanya kitu kimoja kishikamane, kiungane au kigandamane na kitu kingine",,
338,ambia,toa habari kwa mtu fulani, eleza habari,
339,ambika,tengeneza mtego wa kunasia samaki | tia chambo kwenye ndoana | zamisha kwenye maji ili kilowe,loweka,
340,ambika,jitia katika jambo lisilokuhusu,,"ambikia, ambikika, ambikisha"
341,ambilika,"-enye kukubali kuambiwa, -enye kukubali kusemezwa",semezeka,
342,ambisha,gundisha vitu pamoja | panga vitu kwa kukaribiana | ongeza silabi ya kisarufi kwenye mzizi wa kitenzi : Ambika ngalawa ufukweni.,,"ambishia, ambishika, ambishwa"
343,ambizana,pashana habari | peana msimamo kuhusu jambo fulani,,
344,ambo,kitu kinachonata,"gundi, gluu, gamu, ulimbo",
345,ambo,ugonjwa wa mlipuko | kitu kinachosababisha kusambaa kwa ugonjwa wa mlipuko,,
346,ambrosi,chakula cha miungu kulingana na imani ya kale ya Kigiriki na Kirumi | kitu kitamu na cha kupendeza,,
347,ambua,nyanyua,inua,
348,ambua,"tenganisha vitu vilivyogandana | fanikiwa kupata kitu fulani : Alisoma kwa miaka mingi, lakini hana alichoambua.","chuna, bandua, menya","ambuana, ambuka, ambulia, ambusha, ambuliwa"
349,ambukiza,-pa mtu ugonjwa au kitu kibaya : Mbu huambukiza malaria.,,"ambukizana, ambukizia, ambukizika, ambukizwa"
350,ambulensi,gari la kuckulia wagonjwa,,
351,ambulia,fanikiwa kupata kiasi fulani cha kile kilichotarajiwa : Musa ameambulia alama kumi kwa kumi na tano kwenye mtihani wa Hisabati.,,
352,amdelahane,kitambaa cha hariri aghalabu cheupe au cheusi,,
353,ameta,kifaa cha kupimia mawimbi ya umeme kwa kutumia ampea,,
354,amfetamini,aina ya dawa ya kulevya yenye kutia nguvu na kumpa mtu msisimko na kumfanya asihisi njaa,,
355,amfibia,jamii ya wanyama kama chura wanaoweza kuishi kwenye nchi kavu na majini,,
356,ami,mwanamume aliyezaliwa tumbo moja na baba,,
357,amia,fukuza kwa kupiga kelele kwa mfano ndege katika shamba la mpunga,,amilia
358,amiba,mnyama mdogo sana ambaye ana seli moja tu na hutembea na kupata chakula chake kwa kuchomoza na kunyoosha sehemu zinazofanana na vidole,,
359,amidi,fikia uamuzi, kata shauri | kuwa na matarajio ya kupata kitu fulani,"amua, tarajia"
360,amikto,kitambaa cheupe cha katani ambacho huwa na vazi la mhudumu wa kanisa Katoliki linalotandwa mabegani kabla ya kujivika mavazi mengine ya kutolea misa,,
361,amili,"shughulika na kazi fulani, tenda kazi",,"amilia, amilika, amilisha, amiliwa"
362,amili,"kuwa na habari juu ya jambo fulani | unda kitu, rekebisha kitu kilichoharibika",tengeneza,"amilia, amiliana, amilika, amilisha, amiliwa"
363,amilifu,-a utendaji,hai,
364,Amin!,"neno linalotumika kuitika dua inapoombwa, na iwe hivyo",,
365,amini,kubali na fuata imani fulani : Ninaamini Mungu yupo. | kubali kuwa mtu ni mkweli : Usimwamini John kwa lolote atakalokwambia.,sadiki,"aminia, aminika, aminisha, aminiana, aminiwa"
366,amini,rafiki wa kiapo,,
367,aminika,"sadikiwa, kubaliwa kuwa ni kweli, pewa matumaini",,
368,aminisha,thubutu kufanya jambo fulani la hatari au linaloweza kuleta madhara | hakikishia mtu kuwa jambo fulani litafanyika kwa vyovyote vile | acha kitu chini ya dhamana ya mtu mwingine,bahatisha,
369,aminisho,tendo la kuweka kitu au mtu chini ya mamlaka ya mtu au chombo | dhihirisho la moyo wa kutenda jambo,,
370,amiri,anzisha,anzisha,"amiria, amirika, amirisha, amiriwa"
371,amiri,kiongozi mkuu: : Amiri jeshi mkuu -> mkuu wa jeshi,kamanda,
372,amirijeshi,mtu ambaye ni mkuu wa majeshi ya nchi nzima,,
373,amirika,pata ushupavu na uthabiti,"stawi, imarika","amirikika, amirikisha, amirikia"
374,amirisha,"tia nguvu, boresha",,"amirishia, amirishika, amirishwa"
375,amirishwa,fanywa kuwa imara na bora | pewa nguvu,,
376,amisa,tawisha baada ya kuvunja ungo,,"amisia, amisika, amiswa"
377,amka,"-wa macho, toka kwenye usingizi | changamka kwa mtu ambaye alikuwa mvivu, mlegevu, mpole au bozibozi : Leo asubuhi tulichelewa kuamka kwa sababu hatukumsikia jogoo akiwika.",,
378,amkia,"salimia mtu, sabahi mtu",,
379,amkia,tangulia siku inayofuata : Usiku wa kuamkia Krismasi. | fika mahali baada ya kuamka : Jino lilimuuma usiku kucha na siku ya pili aliamkia hospitali.,,
380,amkua,"julia, uliza mtu hali",,"amkuana, amkulika, amkuliwa"
381,amofasi,-sio na umbo wala sura maalumu,,
382,amonia,gesi inayonuka kama mkojo ambayo hutumiwa kutengeneza mbolea ya chumvichumvi au baruti,,
383,ampea,kizio cha kupimia mkondo wa umeme (agh) katika Fizikia,,
384,amplifaya,kifaa cha kielektroniki kinachotumika kwa kukuzia au kuongeza ukubwa wa sauti,,
385,amrawi,kamba ifungwayo kwenye ncha moja ya foromali ili iweze kutumiwa pamoja na baraji ili kuweka pamoja foromali na majira ya meli au jahazi,,
386,amri,"sheria au agizo ambalo ni lazima litekelezwe, sheria ambayo inapaswa kutekelezwa : amri ya serikali : agizo la serikali linalopaswa kutekelezwa : Serikali iliweka amri ya kutotembea usiku. | matakwa ya yule mwenye nguvu : amri kumi za Mungu.",,
387,amrisha,"-pa mtu au mnyama amri, lazimisha mtu au mnyama kufanya jambo",amuru,"amrishana, amrishia, amrishika, amrishiwa, amrishwa"
388,amrishana,kitendo cha pande mbili kila moja ikiamrisha upande mwingine,,
389,amrisho,amri anayopewa mtu,agizo,
390,amsha,toa mtu usingizini | inua mtu aliyekuwa nyuma kimawazo na kiuchumi,,
391,amu,(mjomba) ndugu wa mzazi wako,,
392,amua,"kata shauri, fikia uamuzi : Kama utaamua kujiunga nasi unakaribishwa. | suluhisha wanaogombana, tuliza ugomvi",,"amulia, amulika, amulisha, amuliwa"
393,amuali,mali nyingi : Watu hawa wanafanya kazi kwa bidii ili kupata amuali.,,
394,amuru,fanya mtu atekeleze jambo kwa amri,"agiza, amrisha","amurika, amurisha, amuriwa"
395,amwa,nyonya ziwa,,"amwia, amwika, amwisha"
396,amwali,"mali nyingi, mali anuwai",,
397,amza,salimu mtu nyakati za asubuhi,,"amzana, amzisha, amzwa"
398,ana kwa ana,uso kwa uso,,
399,anagramu,"zao la kiisimu la kupata neno lililobadilishwa kwa kupanga upya mfuatano wa herufi au silabi za neno hilo kwa mfano paka -kapa, maua - amua na kadhalika",,
400,analojia,"mchakato wa kulinganisha vitu viwili au hali mbili kwa madhumuni ya kuthibitisha kuwa zinafanana, tabia ya kitu kufuata mkondo au sura ya kitu kingine kilichotangulia",mlingano,
401,anasa,hali ya raha na starehe | kitu kisicho muhimu kwa maisha,,
402,anatomia,elimu ya sayansi juu ya muundo wa mwili wa binadamu au mmea,,
403,andaa,"fanya kitu au jambo kuwa tayari kutumika, kutekelezwa au kufanyika kwa mfano andaa karamu, andaa mkutano, andaa mtu tayarisha mtu kwa jambo fulani",,"andalia, andalika, andalisha, andaliwa"
404,andama,fuatafuata mtu au kitu kwa mfano mnyama anayewindwa kila mahali bila ya kuchoka: Mtoto anamwandama mama yake kila mahali. | fuatilia mtu kila mahali ili upate habari zake | anza | sumbua : Siku hizi malaria inamwandama sana Maimuna,peleleza,"andamisha, andamwa"
405,andamana,fuatana na watu wengi pamoja kwa madhumuni fulani: Wananchi waliandamana kupinga amri ya kuwahamisha kijijini.,,"andamania, andamanika, andamanisha"
406,andamizi,"-enye kufuata nyuma, -enye kuchukua nafasi ya pili : Naibu wa msimamizi mkuu wa shamba huitwa mwandamizi. | -enye kuongoza, iliyo katika ngazi ya juu",,
407,andasa,nishai zinazotokana na matumizi ya uraibu kama mirungi/miraa,,
408,andazi,"aina ya mkate mdogo unaotengenezwa kwa unga wa ngano, muhogo au mtama uliochomwa kwa kutoswa ndani ya mafuta",hamri,
409,andek!,kauli inayotolewa na dalali anapombarikia mtu kitu kwenye mnada | tamko linaloonyesha furaha ya mafanikio yaliyopatikana,,
410,andika,"chora herufi kwa kutumia kalamu | andika kwa niaba ya mtu mwingine, andika kwa mtu : Nilimwandikia barua yake kwa kuwa aliumia mkono.",,"andikia, andikiana, andikika, andikisha, andikiwa, andikwa"
411,andika,"andaa meza ya chakula, tayarisha meza ya chakula | hudumia watu kwenye sherehe kwa kuwapa chakula",,"andikia, andikiana, andikika, andikisha, andikiwa, andikwa"
412,andishi,"-lioandikwa, -lionakiliwa : Fasihi andishi imekua na kuwa na mawanda mengi sana.",,
413,andisi,"waza sana, tafakari mno | onyesha njia au jinsi ya kufanya jambo",,"andisika, andisisha, andisiwa"
414,andisi,"fanya starehe, pata burudani",,"andisia, andisika, andisisha"
415,androjeni,jamii ya homoni inayoleta hali ya uume katika kiumbe,,
416,anemia,hali ya kuwa na upungufu wa damu mwilini,,
417,anemometa,chombo cha kupimia nguvu za upepo,,
418,anerobi,kiumbe kisichohitaji hewa ili kuvuta pumzi,,
419,anga,kuwa hewani,ning'inia,"angia, angika, angisha"
420,anga,hesabia,hesabu,"angia, angika, angisha, angwa"
421,anga,-wa zamu ya usiku,,"angia, angika, angisha"
422,anga,ingia katika uchawi wa wanga, -wa mwanga,
423,anga,uwanda ulio juu mbinguni,mbingu,
424,angaanga,angalia kwa makini,chunguza,"angaangia, angaangika, angaangisha, angaangwa"
425,angalau,"neno linalotumika kuonyesha uchache wa kitu | ijapokuwa, hata kama",walau,
426,angalia,"lenga macho kwenye kitu ili kukiona | fanya hadhari, kuwa macho ; kuwa makini na mwangalifu | kimu | fikiria","tazama, tunza","angaliana, angalika, angalilia, angalisha, angaliwa"
427,angalifu,"-enye hadhari, -enye kujali",,
428,angalilia,chunguza hali ya mambo kwa kutumia ramli,,"angaliliana, angalilika, angalilisha, angaliliwa"
429,angama,"kuwa juu ya kitu fulani kama vile mwamba, kileleni na kadhalika | elea kama vumbi hewani",,"angamia, angamika, angamiza"
430,angamia,"potea milele, kufa kwa maafa fulani : Wakati wa mafuriko watu waliangamia mtoni.",teketea,"angamika, angamiza"
431,angamiza,"haribu kabisa | ingiza matatani au hatarini | patia hasara, haribikiwa na mali : Majeshi yetu yaliviangamiza vikosi vyao vyote.",teketeza,"angamizana, angamizia, angamizwa"
432,angasa,tumia mkono kuzuia kitu kisipite au kupiga mahali fulani | kimbiza kitu kuondoka mahali fulani,furusha,"angasia, angasiana, angasika, angasisha, angasiwa, angaswa"
433,angata,"chukua juu ya bega, beba begani",,"angatana, angatia, angatika, angatisha, angatwa"
434,angavu,"-enye kumeremeta, -enye kumulika, -enye nuru | -enye kuonyesha, -enye kupitisha mwanga | -enye akili iliyotulia | isiyofichika | -enye masomo na elimu nyingi",,
435,angaza,"fanya sehemu iwe na mwanga au nuru | mulika sehemu au kitu kwa taa, tochi, mwenge na kadhalika | linda, chunguza kwa kuangalia huko na huko kikamilifu | kaa macho usiku kucha kwa kukosa usingizi",,"angazana, angazia, angaziana, angazisha, angazwa"
436,ange,"kwa makini, kwa uangalifu",,
437,angema,"kuwa katika hali ya kukosa matumaini, kata tamaa : Inabidi tuwashauri wenzetu walioangema.",,"kangemea, angemeka, angemesha"
438,angika,ning''iniza kitu mahali,"anika, tundika","angikia, angikika, angikisha, angikiwa, angikwa"
439,Anglikana,madhehebu ya Kikristo yaliyoanzishwa Uingereza,,
440,angua,"chuma matunda kutoka mtini kwa mkono au kigoe | totosha yai ili kifaranga atoke nje | kata au fyeka sehemu ya juu ya kitu kwa mfano maua, mti au majani",toboa,"angulia, angulisha, angusha"
441,anguka,poromoka kutoka juu kuja chini | pata hasara | shindwa katika mtihani,,"angukia, angukika"
442,angukia,anguka ndani ya kitu au juu ya kitu | toa ombi la kusamehewa kwa mtu uliyemkosea,,"angukiana, angukiwa"
443,angukio,mahali ambapo tendo la kuanguka hutokea,,
444,anguko,"tendo la kumshushia au kumpotezea mtu, watu, chama au nchi cheo, nguvu, utukufu na umaarufu : Anguko la ukoloni mkongwe wa Mwingereza Afrika Mashariki lilitokea miaka ya 1960.",,
445,angusa,tenda jambo haraka,"harakisha, ajili","angusisha, anguswa"
446,angusha,"tupa chini, fanya kitu au mtu kuanguka chini : Dhoruba iliangusha miti yote. | ondoa madarakani | katisha mtu tamaa, vunja mtu moyo","pindua,poromosha","angushana, angushia, angushika, angushwa"
447,ania,shindania kupata kitu : Wanariadha wote mwaka huu wanaania kupata medali za dhahabu.,pigania,
448,anika,weka kwenye jua ili kitu kikauke,angika,"anikia, anikika, anikisha, anikwa"
449,aninia,"ndege wa rangi mbalimbali mwenye kifua kipana, mkia mrefu, macho mekundu na mdomo mnene wenye ncha iliyopinda kidogo",,
450,anisi,kuwa katika hali ya kuvutia sana | tia watu furaha,furahisha,"anisiana, anisika, anisisha"
451,anisi,"-a kupendeza, -a anasa",,
452,anjali,"mkanda unaofungia nguo kwa mfano suruali, kaptura, gauni au shuka kiunoni",,
453,anjaza,kunjua | panua | nyoosha,,"anjazia, anjazika, anjazisha, anjazwa"
454,ankara,hati ya madai | stakabadhi,bili,
455,ankarakifani,hati ya kuonyesha bei ya vitu ambavyo mtu anataka kuvinunua kutoka kwa muuzaji,,
456,anofelesi,mbu jike anayebeba vidudu vya homa ya malaria,,
457,ansari,wenyeji wa mji wa Madina waliowapokea muhajirini na Mtume (S.A.W) | waokoaji,,
458,Antaktiki,eneo la baridi sana lililopo katika ncha ya Kusini mwa dunia,,
459,antena,kifaa cha kunasia au kurushia mawimbi ya sauti au picha cha redio au televisheni,,
460,anthropolojia,"elimu ya mila, desturi na imani za jamii",,
461,antifona,wimbo unaoimbwa kabla ya kusoma au kuimba zaburi | wimbo wowote wa Kikristo unaoimbwa wakati wa ibada,,
462,antijeni,dutu inayochochea mwili kuzalisha kinga ya mwili,,
463,antiseptiki,kemikali inayozuia kukua kwa bakteria kwenye jeraha,,
464,antitoksini,dawa ya kuondoa au kuzimua sumu mwilini,,
465,antonimu,"neno ambalo maana yake ni kinyume cha neno jingine kwa mfano lala, amka anika, anua",kinyume,
466,anua,"ondoa kutoka juani au kwenye mvua, ondoa kitu kilichoanikwa",,"anulia, anulika, anulisha, anuliwa"
467,anuka,mawingu au mvua kutoweka : Alikuja nyumbani baada ya mvua kuanuka.,tanzuka,
468,anuwai,"-a tofautitofauti, -a jinsi au namna mbalimbali",,
469,anwani,mahali panapotumiwa kufikishia barua,,
470,anwani,mada au jina la kitabu,,
471,anza,"-wa katika hatua ya awali ya kufanya kitu, fanya kitu kwa mara ya kwanza, -wa wa awali kufanya kitu au jambo | -wa mwanzilishi wa kitu au jambo, fanya kitu ambacho hakikuwapo au hakikuwahi kufanywa kabla",,"anzia, anzika, anzisha, anzwa"
472,anzali,"mtu asiyeheshimiwa, mtu anayepuuzwa",,
473,aota,mshipa mkubwa wa damu wa upande wa kushoto wa moyo,,
474,apa,taja jina la Mungu ili kuthibitisha kuwa jambo fulani ni kweli, -la kiapo, -la yamini | kusudia kwa nguvu kufanya jambo
475,apiza,ombea mtu dua mbaya,laani,"apizana, apizika, apizwa"
476,apizo,"dua mbaya, maapizo mabaya","laana, hizaya",
477,apostrofi,alama ya kuakifisha (') inayotumiwa kuwakilisha herufi au tarakimu zilizodondolewa kama Moh''d badala ya Mohammad, Januari '99 badala ya 1999.,ritifaa
478,apostrofi,taarifa katika hotuba au shairi inayomlenga mtu aliyefariki au kitu kilichohuishwa,,
479,aprikoti,tunda lenye kokwa kama ya embe dodo na ganda la njano,,
480,Aprili,mwezi wa nne katika kalenda ya mwaka,,
481,aproni,kitambaa kinachofungwa kiunoni juu ya nguo nyingine ili nguo iliyo chini yake isipate uchafu,kimori,
482,apua,futa kiapo,,"apulika, apulisha, apuliwa"
483,arachia,"mti mrefu, wenye matawi mengi yaliyotandawaa wenye kutoa maua yenye harufu nzuri",,
